bait_ac	sample	msrun	multiplier
gi|11968057	gi|11968057	ARP6__1	1
gi|11968057	gi|11968057	ARP6__2	1
gi|11968057	gi|11968057	ARP6__3	1
gi|13775202	gi|13775202	IES2	1
gi|149192855	gi|149192855	KIAA0515	1
gi|18079254	gi|18079254	PDRG	1
gi|19924159	gi|19924159	RPB5MP	1
gi|20149643	gi|20149643	FLJ20729	1
gi|24041018	gi|24041018	UTX1	1
gi|24308444	gi|24308444	BC014022	1
gi|27734727	gi|27734727	FLJ90652	1
gi|31542680	gi|31542680	ARP5	1
gi|32996737	gi|32996737	Lin9	1
gi|38488718	gi|38488718	FLJ20309	1
gi|39812115	gi|39812115	ARP8__1	1
gi|39812115	gi|39812115	ARP8__2	1
gi|39930355	gi|39930355	DPCD	1
gi|42822884	gi|42822884	IES6	1
gi|4504255	gi|4504255	H2AZ	1
gi|4506753	gi|4506753	TIP49a	1
gi|46367785	gi|46367785	FLJ20436	1
gi|5174715	gi|5174715	YL1__1	1
gi|5174715	gi|5174715	YL1__2	1
gi|5453617	gi|5453617	ZnF_HIT1__1	1
gi|5453617	gi|5453617	ZnF_HIT1__2	1
gi|5730023	gi|5730023	TIP49b	1
gi|6912542	gi|6912542	NUFIP__1	1
gi|6912542	gi|6912542	NUFIP__2	1
gi|7019371	gi|7019371	TCF3A	1
gi|7656936	gi|7656936	ZnF_HIT2	1
gi|8922764	gi|8922764	MRGBP__1	1
gi|8922764	gi|8922764	MRGBP__2	1
gi|8923598	gi|8923598	FLJ20643	1
gi|HsSRCAP	gi|HsSRCAP	SRCAP__1	1
gi|HsSRCAP	gi|HsSRCAP	SRCAP__2	1
