msrun	prey_ac	sc
ARP5	gi|89067014	4
ARP5	gi|31542680	31
ARP5	gi|5730023	24
ARP5	gi|4506753	17
ARP5	gi|42822884	6
ARP5	gi|39812115	17
ARP5	gi|5453603	10
ARP5	gi|24307939	9
ARP5	gi|4757718	7
ARP5	gi|58761486	8
ARP5	gi|4885431	12
ARP5	gi|5453607	6
ARP5	gi|13775202	3
ARP5	gi|27734727	3
ARP5	gi|48762932	6
ARP5	gi|33469139	20
ARP5	gi|23346420	18
ARP5	gi|4502643	6
ARP5	gi|4885375	3
ARP5	gi|4885379	3
ARP5	gi|89058472	1
ARP5	gi|29893564	4
ARP5	gi|4507955	4
ARP5	gi|10835063	3
ARP5	gi|11036646	1
ARP5	gi|20336754	1
ARP5	gi|7706753	3
ARP5	gi|4504255	1
ARP5	gi|38488718	5
ARP5	gi|34932414	3
ARP5	gi|38455427	4
ARP5	gi|14210536	3
ARP5	gi|7019371	1
ARP5	gi|5174449	1
ARP5	gi|4826998	3
ARP5	gi|52632383	2
ARP5	gi|14043070	2
ARP5	gi|4501955	4
ARP5	gi|31542947	2
ARP5	gi|27436929	3
ARP5	gi|12056465	1
ARP5	gi|7706254	1
ARP5	gi|4758560	1
ARP5	gi|14043072	1
ARP5	gi|4758860	1
ARP5	gi|16507237	1
ARP5	gi|50659095	1
ARP5	gi|4503745	3
ARP5	gi|4503297	1
ARP5	gi|13654237	1
ARP6__1	gi|89067014	1
ARP6__1	gi|5730023	14
ARP6__1	gi|4506753	12
ARP6__1	gi|5453603	26
ARP6__1	gi|24307939	15
ARP6__1	gi|4757718	6
ARP6__1	gi|58761486	20
ARP6__1	gi|4885431	29
ARP6__1	gi|5453607	19
ARP6__1	gi|48762932	32
ARP6__1	gi|4502643	15
ARP6__1	gi|4885375	8
ARP6__1	gi|4885379	8
ARP6__1	gi|10835063	5
ARP6__1	gi|11036646	3
ARP6__1	gi|20336754	1
ARP6__1	gi|4504255	3
ARP6__1	gi|34932414	6
ARP6__1	gi|38455427	20
ARP6__1	gi|14210536	9
ARP6__1	gi|5174449	6
ARP6__1	gi|4826998	7
ARP6__1	gi|52632383	8
ARP6__1	gi|14043070	4
ARP6__1	gi|4501955	2
ARP6__1	gi|31542947	14
ARP6__1	gi|27436929	8
ARP6__1	gi|12056465	5
ARP6__1	gi|7706254	5
ARP6__1	gi|4758560	1
ARP6__1	gi|14043072	6
ARP6__1	gi|4758860	3
ARP6__1	gi|16507237	21
ARP6__1	gi|4503745	2
ARP6__1	gi|4503297	17
ARP6__1	gi|13654237	45
ARP6__1	gi|4506693	4
ARP6__1	gi|5803225	7
ARP6__1	gi|24234688	19
ARP6__1	gi|14211889	2
ARP6__1	gi|7669492	7
ARP6__1	gi|4502491	4
ARP6__1	gi|4506691	4
ARP6__1	gi|13904870	5
ARP6__1	gi|14591909	6
ARP6__1	gi|11968057	7
ARP6__1	gi|16753227	6
ARP6__1	gi|4504253	2
ARP6__1	gi|10800130	2
ARP6__1	gi|24638446	2
ARP6__1	gi|10440560	1
ARP6__1	gi|31742503	1
ARP6__1	gi|4504279	1
ARP6__1	gi|13514822	4
ARP6__1	gi|55956788	13
ARP6__1	gi|5902076	6
ARP6__1	gi|4506901	3
ARP6__1	gi|6678271	5
ARP6__1	gi|4506003	5
ARP6__1	gi|10835165	2
ARP6__1	gi|4506711	2
ARP6__1	gi|4506005	4
ARP6__1	gi|4506007	4
ARP6__1	gi|51460917	1
ARP6__1	gi|72534660	2
ARP6__1	gi|34577110	2
ARP6__1	gi|24234747	2
ARP6__1	gi|15431306	2
ARP6__1	gi|5729838	1
ARP6__1	gi|HsSRCAP	10
ARP6__1	gi|41152056	3
ARP6__1	gi|5174715	1
ARP6__1	gi|40217847	5
ARP6__1	gi|17999537	5
ARP6__1	gi|7657351	3
ARP6__2	gi|89067014	1
ARP6__2	gi|5730023	11
ARP6__2	gi|4506753	11
ARP6__2	gi|4757718	4
ARP6__2	gi|4885431	9
ARP6__2	gi|4885375	3
ARP6__2	gi|4885379	3
ARP6__2	gi|89058472	1
ARP6__2	gi|10835063	3
ARP6__2	gi|11036646	1
ARP6__2	gi|20336754	1
ARP6__2	gi|4504255	2
ARP6__2	gi|34932414	5
ARP6__2	gi|14210536	1
ARP6__2	gi|4826998	4
ARP6__2	gi|52632383	1
ARP6__2	gi|4501955	3
ARP6__2	gi|31542947	2
ARP6__2	gi|27436929	6
ARP6__2	gi|7706254	1
ARP6__2	gi|14043072	1
ARP6__2	gi|16507237	2
ARP6__2	gi|50659095	1
ARP6__2	gi|4503745	2
ARP6__2	gi|4503297	5
ARP6__2	gi|13654237	2
ARP6__2	gi|5803225	1
ARP6__2	gi|24234688	1
ARP6__2	gi|11968057	5
ARP6__2	gi|4504253	1
ARP6__2	gi|10800130	2
ARP6__2	gi|24638446	2
ARP6__2	gi|13514822	2
ARP6__2	gi|55956788	2
ARP6__2	gi|5902076	4
ARP6__2	gi|4506901	2
ARP6__2	gi|4506003	1
ARP6__2	gi|4506005	1
ARP6__2	gi|4506007	1
ARP6__2	gi|72534660	2
ARP6__2	gi|HsSRCAP	10
ARP6__2	gi|40217847	1
ARP6__2	gi|7657351	3
ARP6__2	gi|13123776	3
ARP6__3	gi|5730023	1
ARP6__3	gi|4506753	5
ARP6__3	gi|5453603	3
ARP6__3	gi|24307939	2
ARP6__3	gi|58761486	1
ARP6__3	gi|4885431	7
ARP6__3	gi|5453607	1
ARP6__3	gi|48762932	2
ARP6__3	gi|4502643	2
ARP6__3	gi|4885375	3
ARP6__3	gi|4885379	3
ARP6__3	gi|89058472	1
ARP6__3	gi|10835063	3
ARP6__3	gi|34932414	5
ARP6__3	gi|38455427	3
ARP6__3	gi|14210536	1
ARP6__3	gi|5174449	1
ARP6__3	gi|4826998	4
ARP6__3	gi|52632383	3
ARP6__3	gi|14043070	4
ARP6__3	gi|4501955	8
ARP6__3	gi|27436929	5
ARP6__3	gi|12056465	2
ARP6__3	gi|7706254	1
ARP6__3	gi|4758560	2
ARP6__3	gi|14043072	3
ARP6__3	gi|4758860	1
ARP6__3	gi|16507237	3
ARP6__3	gi|50659095	3
ARP6__3	gi|4503745	8
ARP6__3	gi|4503297	3
ARP6__3	gi|13654237	29
ARP6__3	gi|5803225	1
ARP6__3	gi|24234688	1
ARP6__3	gi|14211889	2
ARP6__3	gi|7669492	1
ARP6__3	gi|4506691	1
ARP6__3	gi|13904870	1
ARP6__3	gi|4504253	1
ARP6__3	gi|10800130	1
ARP6__3	gi|24638446	1
ARP6__3	gi|13514822	2
ARP6__3	gi|55956788	5
ARP6__3	gi|5902076	5
ARP6__3	gi|4506901	4
ARP6__3	gi|6678271	3
ARP6__3	gi|4506003	2
ARP6__3	gi|4506005	1
ARP6__3	gi|4506007	1
ARP6__3	gi|51460917	1
ARP6__3	gi|72534660	2
ARP6__3	gi|34577110	1
ARP6__3	gi|24234747	1
ARP6__3	gi|HsSRCAP	1
ARP6__3	gi|41152056	6
ARP6__3	gi|40217847	15
ARP6__3	gi|17999537	6
ARP6__3	gi|7657351	7
ARP8__1	gi|31542680	5
ARP8__1	gi|5730023	5
ARP8__1	gi|4506753	8
ARP8__1	gi|42822884	1
ARP8__1	gi|39812115	30
ARP8__1	gi|4757718	2
ARP8__1	gi|4885431	4
ARP8__1	gi|13775202	1
ARP8__1	gi|27734727	2
ARP8__1	gi|33469139	6
ARP8__1	gi|23346420	3
ARP8__1	gi|29893564	1
ARP8__1	gi|7706753	1
ARP8__1	gi|38488718	1
ARP8__1	gi|7019371	1
ARP8__1	gi|27436929	1
ARP8__1	gi|24234688	1
ARP8__1	gi|51460917	1
ARP8__2	gi|89067014	1
ARP8__2	gi|31542680	10
ARP8__2	gi|5730023	18
ARP8__2	gi|4506753	14
ARP8__2	gi|42822884	6
ARP8__2	gi|39812115	46
ARP8__2	gi|4757718	6
ARP8__2	gi|4885431	14
ARP8__2	gi|13775202	3
ARP8__2	gi|27734727	5
ARP8__2	gi|33469139	20
ARP8__2	gi|23346420	14
ARP8__2	gi|4885375	3
ARP8__2	gi|4885379	4
ARP8__2	gi|29893564	1
ARP8__2	gi|4507955	1
ARP8__2	gi|10835063	1
ARP8__2	gi|11036646	3
ARP8__2	gi|20336754	2
ARP8__2	gi|7706753	6
ARP8__2	gi|4504255	1
ARP8__2	gi|38488718	2
ARP8__2	gi|34932414	1
ARP8__2	gi|14210536	3
ARP8__2	gi|7019371	1
ARP8__2	gi|5174449	1
ARP8__2	gi|4826998	1
ARP8__2	gi|4501955	1
ARP8__2	gi|27436929	3
ARP8__2	gi|12056465	1
ARP8__2	gi|13654237	3
ARP8__2	gi|4506693	2
ARP8__2	gi|24234688	4
ARP8__2	gi|4502491	1
ARP8__2	gi|13904870	4
ARP8__2	gi|4504253	2
ARP8__2	gi|10800130	2
ARP8__2	gi|24638446	3
ARP8__2	gi|10440560	2
ARP8__2	gi|31742503	2
ARP8__2	gi|4504279	2
ARP8__2	gi|55956788	2
ARP8__2	gi|51460917	1
BC014022	gi|4506753	1
BC014022	gi|4885431	2
BC014022	gi|89058472	1
BC014022	gi|4501955	1
BC014022	gi|12056465	2
BC014022	gi|7706254	1
BC014022	gi|16507237	1
BC014022	gi|4503297	1
BC014022	gi|13654237	3
BC014022	gi|14211889	2
BC014022	gi|7669492	1
BC014022	gi|40217847	1
BC014022	gi|7657351	4
BC014022	gi|24308444	10
BC014022	gi|7657162	4
BC014022	gi|8923598	4
BC014022	gi|19924159	6
BC014022	gi|24041018	2
BC014022	gi|18079254	2
BC014022	gi|14589951	2
BC014022	gi|13375809	5
BC014022	gi|12408675	1
BC014022	gi|39725938	1
DPCD	gi|89067014	1
DPCD	gi|5730023	27
DPCD	gi|4506753	22
DPCD	gi|5453603	1
DPCD	gi|4757718	1
DPCD	gi|4885431	7
DPCD	gi|4502643	2
DPCD	gi|4885375	1
DPCD	gi|4885379	1
DPCD	gi|89058472	1
DPCD	gi|4507955	1
DPCD	gi|10835063	2
DPCD	gi|34932414	4
DPCD	gi|4826998	5
DPCD	gi|52632383	4
DPCD	gi|14043070	3
DPCD	gi|4501955	5
DPCD	gi|31542947	1
DPCD	gi|27436929	2
DPCD	gi|7706254	2
DPCD	gi|14043072	2
DPCD	gi|4758860	2
DPCD	gi|16507237	5
DPCD	gi|50659095	8
DPCD	gi|4503745	16
DPCD	gi|4503297	9
DPCD	gi|13654237	5
DPCD	gi|7669492	2
DPCD	gi|4502491	2
DPCD	gi|13904870	1
DPCD	gi|10440560	1
DPCD	gi|31742503	1
DPCD	gi|4504279	1
DPCD	gi|13514822	2
DPCD	gi|55956788	1
DPCD	gi|5902076	1
DPCD	gi|4506901	1
DPCD	gi|6678271	2
DPCD	gi|4506003	2
DPCD	gi|4506005	2
DPCD	gi|4506007	2
DPCD	gi|72534660	2
DPCD	gi|34577110	1
DPCD	gi|24234747	3
DPCD	gi|41152056	1
DPCD	gi|40217847	3
DPCD	gi|17999537	2
DPCD	gi|7657351	8
DPCD	gi|24308444	2
DPCD	gi|7657162	2
DPCD	gi|8923598	4
DPCD	gi|19924159	8
DPCD	gi|18079254	2
DPCD	gi|14589951	2
DPCD	gi|13375809	5
DPCD	gi|12408675	2
DPCD	gi|39930355	7
DPCD	gi|5803102	1
FLJ90652	gi|89067014	1
FLJ90652	gi|31542680	11
FLJ90652	gi|5730023	13
FLJ90652	gi|4506753	15
FLJ90652	gi|42822884	4
FLJ90652	gi|39812115	11
FLJ90652	gi|4757718	3
FLJ90652	gi|58761486	1
FLJ90652	gi|4885431	26
FLJ90652	gi|5453607	2
FLJ90652	gi|13775202	5
FLJ90652	gi|27734727	6
FLJ90652	gi|48762932	2
FLJ90652	gi|33469139	21
FLJ90652	gi|23346420	28
FLJ90652	gi|4502643	1
FLJ90652	gi|89058472	1
FLJ90652	gi|29893564	6
FLJ90652	gi|4507955	3
FLJ90652	gi|10835063	1
FLJ90652	gi|7706753	7
FLJ90652	gi|38488718	2
FLJ90652	gi|34932414	2
FLJ90652	gi|38455427	1
FLJ90652	gi|14210536	1
FLJ90652	gi|7019371	6
FLJ90652	gi|5174449	1
FLJ90652	gi|4826998	1
FLJ90652	gi|4501955	1
FLJ90652	gi|27436929	6
FLJ90652	gi|16507237	16
FLJ90652	gi|4503745	10
FLJ90652	gi|13654237	1
FLJ90652	gi|5803225	6
FLJ90652	gi|24234688	2
FLJ90652	gi|7669492	2
FLJ90652	gi|4502491	2
FLJ90652	gi|34577110	1
FLJ90652	gi|41152056	1
FLJ90652	gi|46367785	9
FLJ20729	gi|5730023	1
FLJ20729	gi|4506753	1
FLJ20729	gi|5453603	1
FLJ20729	gi|24307939	3
FLJ20729	gi|4757718	1
FLJ20729	gi|4885431	16
FLJ20729	gi|5453607	1
FLJ20729	gi|48762932	2
FLJ20729	gi|23346420	1
FLJ20729	gi|4502643	1
FLJ20729	gi|4885375	3
FLJ20729	gi|4885379	3
FLJ20729	gi|89058472	1
FLJ20729	gi|4507955	1
FLJ20729	gi|10835063	4
FLJ20729	gi|11036646	1
FLJ20729	gi|20336754	1
FLJ20729	gi|4504255	1
FLJ20729	gi|34932414	6
FLJ20729	gi|38455427	2
FLJ20729	gi|14210536	3
FLJ20729	gi|5174449	1
FLJ20729	gi|4826998	7
FLJ20729	gi|52632383	10
FLJ20729	gi|14043070	7
FLJ20729	gi|4501955	15
FLJ20729	gi|31542947	3
FLJ20729	gi|27436929	6
FLJ20729	gi|12056465	1
FLJ20729	gi|7706254	4
FLJ20729	gi|4758560	1
FLJ20729	gi|14043072	5
FLJ20729	gi|4758860	2
FLJ20729	gi|16507237	3
FLJ20729	gi|50659095	9
FLJ20729	gi|4503745	10
FLJ20729	gi|4503297	13
FLJ20729	gi|13654237	14
FLJ20729	gi|5803225	2
FLJ20729	gi|14211889	1
FLJ20729	gi|7669492	6
FLJ20729	gi|4502491	1
FLJ20729	gi|4504253	1
FLJ20729	gi|10800130	1
FLJ20729	gi|24638446	1
FLJ20729	gi|13514822	5
FLJ20729	gi|55956788	6
FLJ20729	gi|4506901	1
FLJ20729	gi|6678271	5
FLJ20729	gi|4506003	2
FLJ20729	gi|4506005	2
FLJ20729	gi|4506007	2
FLJ20729	gi|72534660	2
FLJ20729	gi|34577110	4
FLJ20729	gi|24234747	2
FLJ20729	gi|41152056	3
FLJ20729	gi|40217847	4
FLJ20729	gi|17999537	3
FLJ20729	gi|7657351	10
FLJ20643	gi|89067014	1
FLJ20643	gi|5730023	24
FLJ20643	gi|4506753	15
FLJ20643	gi|4885431	16
FLJ20643	gi|4885375	1
FLJ20643	gi|4885379	1
FLJ20643	gi|89058472	1
