protein_ac	seqlength
gi|10440560	136
gi|10800130	130
gi|10835063	294
gi|10835165	128
gi|11968057	396
gi|12056465	321
gi|12408675	154
gi|13123776	467
gi|13375809	665
gi|13376798	721
gi|13376810	836
gi|13569879	268
gi|13654237	4128
gi|13904870	204
gi|14043070	372
gi|14043072	353
gi|14210536	446
gi|14211889	99
gi|14589951	210
gi|14591909	297
gi|149192855	2229
gi|15431306	257
gi|16507237	654
gi|16753227	288
gi|18079254	133
gi|19924159	535
gi|20149643	470
gi|20336754	126
gi|21361489	763
gi|21361918	804
gi|23346420	1324
gi|24041018	169
gi|24234688	679
gi|24234747	390
gi|24307939	541
gi|24308444	357
gi|24638446	129
gi|27734727	244
gi|29893564	462
gi|31542680	607
gi|31542947	573
gi|31742503	136
gi|32996737	558
gi|34452705	951
gi|34577110	364
gi|34932414	471
gi|36287069	546
gi|38201655	418
gi|38455427	539
gi|38488718	878
gi|39725938	1390
gi|39812115	624
gi|39930355	203
gi|40217847	2136
gi|40255020	201
gi|41152056	972
gi|42822884	192
gi|4501955	1014
gi|4502491	282
gi|4502643	531
gi|4504253	143
gi|4504255	128
gi|4504279	136
gi|4504345	142
gi|4504349	147
gi|4506003	330
gi|4506005	327
gi|4506007	323
gi|4506691	146
gi|4506693	135
gi|4506711	84
gi|4506753	456
gi|4506901	164
gi|4507691	3830
gi|4507955	414
gi|46367785	390
gi|4757718	429
gi|4758860	699
gi|47824889	154
gi|4826998	707
gi|48762932	548
gi|4885375	213
gi|4885379	219
gi|4885431	641
gi|50659095	783
gi|5174449	213
gi|5174715	364
gi|52632383	589
gi|5453603	535
gi|5453607	543
gi|5453617	154
gi|55956788	710
gi|56549696	3122
gi|5729838	227
gi|5730023	463
gi|5803102	323
gi|5803225	255
gi|5902076	248
gi|6678271	414
gi|6912448	288
gi|6912542	495
gi|7019371	253
gi|72534660	238
gi|7656936	403
gi|7657162	129
gi|7657351	1328
gi|7669492	335
gi|7706254	529
gi|7706753	329
gi|8922764	204
gi|8923598	290
gi|27436929	641
gi|89067014	55
gi|89058472	106
gi|4503297	1279
gi|4503745	2647
gi|11036646	126
gi|33469139	1556
gi|4758560	357
gi|13775202	343
gi|17999537	2335
gi|HsSRCAP	3170
gi|13514822	235
gi|51460917	114
gi|5174745	91
gi|58761486	544
